sample_id,image_path,gridsat_slot,time_offset_h,missing_fraction,bt_mean_k,bt_min_k,cold_cloud_fraction,central_cold_cloud_fraction,pixel_sha256,dhash,label,class_code,class_name,storm_id,name,basin,subbasin,region,subregion,timestamp,latitude,longitude,nature,usa_wind_kt,imd_category_of_usa_wind,wmo_wind_kt,wmo_agency,usa_sshs,dataset_a_wind_kt,in_dataset_a
CLS_00011,data/processed/classification/D-DD/CLS_00011.png,2000-02-03T15:00:00Z,0.0,0.0,265.64,188.07,0.15854,0.25947,f6b8b0b82a9b9e9bacfa8a31fc7ae90dc8d72ba9c0f0e0e7be8655f4b7a90d4b,8f869ce4e0f3e23c,0,D-DD,Depression / Deep Depression,2000032S11116,ELINE:LEONE,SI,WA,south_indian_ocean,,2000-02-03T15:00:00Z,-11.7,108.3,TS,25.0,D,,,-1,25.0,True
CLS_00012,data/processed/classification/D-DD/CLS_00012.png,2000-02-19T00:00:00Z,0.0,0.0,262.45,189.45,0.17737,0.36669,ac3e2eb71f8d6f0833f0acf0a26eaa4f5e8c4ed380aa8daa7a04fa615d079000,9967f2ccc8f07031,0,D-DD,Depression / Deep Depression,2000050S13078,FELICIA,SI,MM,south_indian_ocean,,2000-02-19T00:00:00Z,-13.8,77.6,TS,25.0,D,20.0,reunion,-1,20.0,True
CLS_00013,data/processed/classification/D-DD/CLS_00013.png,2000-02-24T06:00:00Z,0.0,0.0,281.71,195.49,0.05748,0.21976,1d86d9ec72459c0643d31f9d27813db102d58434d9652f4c7c7091a7d204e641,0d3c3878b91946d6,0,D-DD,Depression / Deep Depression,2000055S23227,KIM,SP,MM,pacific_ocean,southern_pacific,2000-02-24T06:00:00Z,-23.2,-134.8,TS,30.0,DD,25.0,nadi,-1,25.0,True
CLS_00014,data/processed/classification/D-DD/CLS_00014.png,2000-03-01T06:00:00Z,0.0,0.0,257.75,185.21,0.33868,0.55793,2244765c6c700ceb67ee22f4e48fa9654d44f7096358747fcf446ed79cca1595,f8d8fbedf162780f,0,D-DD,Depression / Deep Depression,2000056S17152,STEVE,SP,EA,pacific_ocean,southern_pacific,2000-03-01T06:00:00Z,-15.6,135.4,TS,30.0,DD,30.0,bom,-1,30.0,True
CLS_00015,data/processed/classification/D-DD/CLS_00015.png,2000-03-02T03:00:00Z,0.0,0.0,261.81,189.94,0.25633,0.46609,cca421502817b0c5aba1ed36cef17ab30b3bcf3f8a027a0498f3cfefcc40c05e,c9e4e4e6963cbc72,0,D-DD,Depression / Deep Depression,2000056S17152,STEVE,SI,WA,south_indian_ocean,,2000-03-02T03:00:00Z,-14.8,132.7,TS,25.0,D,,,-1,25.0,True
CLS_00016,data/processed/classification/D-DD/CLS_00016.png,2000-03-02T18:00:00Z,0.0,0.0,274.36,188.58,0.10668,0.36006,91ef2d16194c596b23372d014201b903c85524f6b2badd850d0941261ab018fd,a1b37960f0f179bc,0,D-DD,Depression / Deep Depression,2000058S14063,GLORIA,SI,MM,south_indian_ocean,,2000-03-02T18:00:00Z,-16.6,47.7,TS,25.0,D,,reunion,-1,25.0,True
CLS_00017,data/processed/classification/D-DD/CLS_00017.png,2000-03-05T15:00:00Z,0.0,0.0,275.31,192.76,0.05088,0.16118,511dcdc41f7d10fdc8619fe27a456f58423fc7e468172bb6de5e7ede439feffe,4763666a674b4b73,0,D-DD,Depression / Deep Depression,2000060S12086,UNNAMED,SI,MM,south_indian_ocean,,2000-03-05T15:00:00Z,-14.7,80.5,TS,25.0,D,,,-1,25.0,True
CLS_00018,data/processed/classification/D-DD/CLS_00018.png,2000-03-06T09:00:00Z,0.0,0.0,267.29,198.45,0.10616,0.21101,d8e62b305a39bd0ed9e02825e2d221e56cce5563bdd4182421fd24057e1e90c4,459d6d61e3c6ec79,0,D-DD,Depression / Deep Depression,2000064S19209,LEO,SP,MM,pacific_ocean,southern_pacific,2000-03-06T09:00:00Z,-24.3,-162.8,TS,25.0,D,,,-1,25.0,True
CLS_00019,data/processed/classification/D-DD/CLS_00019.png,2000-03-08T06:00:00Z,0.0,0.0,257.14,186.54,0.24333,0.43722,208d4449d1947d12f675133f0e1a3df74ef4c9b66d7bc30f8a1bc190187acc11,4acadcb878381ce7,0,D-DD,Depression / Deep Depression,2000067S15189,MONA,SP,MM,pacific_ocean,southern_pacific,2000-03-08T06:00:00Z,-19.5,-175.1,TS,30.0,DD,25.0,nadi,-1,25.0,True
CLS_00020,data/processed/classification/D-DD/CLS_00020.png,2000-03-16T18:00:00Z,0.0,0.0,262.85,182.6,0.15678,0.29509,a986d52dcc053abf5bac143abbb17004475bfce2a6bfbd5229e3164131aca5cb,3e0f43c5e569b9fd,0,D-DD,Depression / Deep Depression,2000075S17119,OLGA,SI,WA,south_indian_ocean,,2000-03-16T18:00:00Z,-16.7,113.5,TS,30.0,DD,35.0,bom,-1,35.0,True
CLS_00021,data/processed/classification/D-DD/CLS_00021.png,2000-03-31T06:00:00Z,0.0,0.0,267.98,189.47,0.1666,0.37462,87a56949c3c85cda677f6f3f000307fd2c77091c35e21d9e8c7ad96a744aa48e,2032c96464f83a98,0,D-DD,Depression / Deep Depression,2000091S14156,TESSI,SP,EA,pacific_ocean,southern_pacific,2000-03-31T06:00:00Z,-14.7,155.2,TS,20.0,D,30.0,bom,-1,30.0,True
CLS_00022,data/processed/classification/D-DD/CLS_00022.png,2000-03-31T09:00:00Z,0.0,0.0,272.41,189.21,0.10395,0.1832,9ef2d323502588d41d72f3418f714451d99d96430ce66a18cf97b421e4198c58,321f3a18193d07b0,0,D-DD,Depression / Deep Depression,2000089S20168,VAUGHAN,SP,MM,pacific_ocean,southern_pacific,2000-03-31T09:00:00Z,-19.9,167.2,TS,25.0,D,,,-1,25.0,True
CLS_00023,data/processed/classification/D-DD/CLS_00023.png,2000-03-31T18:00:00Z,0.0,0.0,273.83,189.57,0.10623,0.29296,0fad969296ca647b8a1106af33957ef23170bc9d39b7ebdb9db43563cd7eeb3f,9ed2b2b0b039ba99,0,D-DD,Depression / Deep Depression,2000091S14156,TESSI,SP,EA,pacific_ocean,southern_pacific,2000-03-31T18:00:00Z,-15.4,153.8,TS,25.0,D,35.0,bom,-1,35.0,True
CLS_00024,data/processed/classification/D-DD/CLS_00024.png,2000-04-01T09:00:00Z,0.0,0.0,280.07,193.44,0.02894,0.03935,79b2520ab11b166f3a38342a51d19880636da43884d697c4b8c298892551250c,b1333b381a6d0720,0,D-DD,Depression / Deep Depression,2000089S20168,VAUGHAN,SP,MM,pacific_ocean,southern_pacific,2000-04-01T09:00:00Z,-17.9,165.7,TS,25.0,D,,,-1,25.0,True
CLS_00025,data/processed/classification/D-DD/CLS_00025.png,2000-04-14T06:00:00Z,0.0,0.0,271.34,190.3,0.07913,0.21751,0ab0af64f215470f7cd119d44e58b21e5894db0dc1888d5528087944cb3ddf3b,333979383e1e2021,0,D-DD,Depression / Deep Depression,2000104S17182,NEIL,SP,MM,pacific_ocean,southern_pacific,2000-04-14T06:00:00Z,-18.4,179.8,TS,25.0,D,25.0,nadi,-1,25.0,True
CLS_00026,data/processed/classification/D-DD/CLS_00026.png,2000-04-16T21:00:00Z,0.0,0.0,272.35,196.88,0.08692,0.21396,22ee635ddd0022e05e4009c00be446a5309a8257c9f4189cc57fc2e451d7bbe2,d8ea785c783c3b3a,0,D-DD,Depression / Deep Depression,2000104S17182,NEIL,SP,MM,pacific_ocean,southern_pacific,2000-04-16T21:00:00Z,-23.2,180.7,TS,33.0,DD,,,-1,33.0,True
CLS_00027,data/processed/classification/D-DD/CLS_00027.png,2000-04-19T12:00:00Z,0.0,0.0,286.98,211.77,0.00082,0.0,d0e8383d39e88d91046a6e8b7d4d4bd9f91109e9d700097ebddf4029834a8498,ce1a6e6dfee6b55c,0,D-DD,Depression / Deep Depression,2000103S10095,INNOCENTE,SI,MM,south_indian_ocean,,2000-04-19T12:00:00Z,-18.2,69.6,TS,25.0,D,30.0,reunion,-1,30.0,True
CLS_00028,data/processed/classification/D-DD/CLS_00028.png,2000-04-20T21:00:00Z,0.0,0.0,268.87,200.54,0.09001,0.20686,2cd8b2ce25fe33fb7d07c226ba92f61c08b9c5a0cd0fb436edb73439003486b8,cce87878783c3c5e,0,D-DD,Depression / Deep Depression,2000105S09127,ROSITA,SI,WA,south_indian_ocean,,2000-04-20T21:00:00Z,-20.5,128.3,TS,30.0,DD,,,-1,30.0,True
CLS_00029,data/processed/classification/D-DD/CLS_00029.png,2000-05-18T09:00:00Z,0.0,0.0,269.76,188.85,0.13932,0.27544,1c60bee8264e90efb638a6a7a303d156ba9156db00371f33d4cb9986e05c1913,033d7c7070604181,0,D-DD,Depression / Deep Depression,2000138N16119,LONGWANG,WP,MM,pacific_ocean,western_pacific,2000-05-18T09:00:00Z,18.6,123.0,TS,20.0,D,,,-1,20.0,True
CLS_00030,data/processed/classification/D-DD/CLS_00030.png,2000-06-16T15:00:00Z,0.0,0.0,280.38,209.26,0.0168,0.03444,d9b2b48dbfd3ce910297082e78a345802b9eaf498164d6db3fe1eca482bfe5ca,583870d8c8c3e241,0,D-DD,Depression / Deep Depression,2000164N12256,BUD,EP,MM,pacific_ocean,eastern_pacific,2000-06-16T15:00:00Z,19.9,-111.1,TS,30.0,DD,,,-1,30.0,True
CLS_00031,data/processed/classification/D-DD/CLS_00031.png,2000-07-21T06:00:00Z,0.0,0.0,271.47,199.17,0.10048,0.06178,0932ddc0ee8163dc096aff9b10a8c16b65d79824206ca730a80ff4d1393746c6,692e169a9a9dd8e1,0,D-DD,Depression / Deep Depression,2000203N17249,UNNAMED,EP,MM,pacific_ocean,eastern_pacific,2000-07-21T06:00:00Z,17.0,-110.7,TS,25.0,D,,,-1,25.0,True
CLS_00032,data/processed/classification/D-DD/CLS_00032.png,2000-07-22T12:00:00Z,0.0,0.0,264.69,186.92,0.19069,0.36195,0927c16538464b7d0b1564675e664e7fbad3eef88064e55c50a8d99772b5a0a4,8e4ca4e3c8383899,0,D-DD,Depression / Deep Depression,2000202N12131,BOLAVEN,WP,MM,pacific_ocean,western_pacific,2000-07-22T12:00:00Z,17.3,124.4,TS,25.0,D,,,-1,25.0,True
CLS_00033,data/processed/classification/D-DD/CLS_00033.png,2000-07-29T15:00:00Z,0.0,0.0,282.17,216.35,0.00975,0.01562,f9271e2325bba81c4e296e7af6168e89bf2c8fc26e2bf6184e96e79a1e2bf844,4dc7e7d1f60a26d2,0,D-DD,Depression / Deep Depression,2000206N11266,EMILIA,EP,MM,pacific_ocean,eastern_pacific,2000-07-29T15:00:00Z,20.3,-119.5,TS,33.0,DD,,,-1,33.0,True
CLS_00034,data/processed/classification/D-DD/CLS_00034.png,2000-07-31T18:00:00Z,0.0,0.0,279.86,193.37,0.08393,0.20941,a27808ec017f9c48fba83e1886fb972401cb05bee321e8e7bbbe0586542493d3,3ed6bc30b9993f3c,0,D-DD,Depression / Deep Depression,2000214N22155,JELAWAT,WP,MM,pacific_ocean,western_pacific,2000-07-31T18:00:00Z,22.0,154.3,TS,20.0,D,,tokyo,-1,20.0,True
CLS_00035,data/processed/classification/D-DD/CLS_00035.png,2000-08-01T15:00:00Z,0.0,0.0,270.4,188.99,0.08625,0.25024,7bc86b04be50bca6f0a4b04e095901818c03a7781295eaa251d9d28d7609d968,7eee1cc7e1e96699,0,D-DD,Depression / Deep Depression,2000214S06080,UNNAMED,SI,MM,south_indian_ocean,,2000-08-01T15:00:00Z,-6.2,77.9,TS,33.0,DD,,,-1,33.0,True
CLS_00036,data/processed/classification/D-DD/CLS_00036.png,2000-08-06T12:00:00Z,0.0,0.0,282.86,190.52,0.022,0.06621,29a42831070e8a8071538c4cf1aebde31250de56f8f24446f3dce6970aeb8a82,48800123e7e4c99b,0,D-DD,Depression / Deep Depression,2000215N15254,FABIO,EP,MM,pacific_ocean,eastern_pacific,2000-08-06T12:00:00Z,15.5,-124.8,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00037,data/processed/classification/D-DD/CLS_00037.png,2000-08-09T21:00:00Z,0.0,0.0,282.62,204.97,0.02214,0.08266,5772039eafe07c35d1f0d92d60ac56d4e1e431d08ff6c2074774f6997e35e24c,4da6dcb0b10f398d,0,D-DD,Depression / Deep Depression,2000220N24149,UNNAMED,WP,MM,pacific_ocean,western_pacific,2000-08-09T21:00:00Z,35.5,148.2,TS,30.0,DD,,,-1,30.0,True
CLS_00038,data/processed/classification/D-DD/CLS_00038.png,2000-08-18T09:00:00Z,0.0,0.0,280.54,226.44,0.00201,0.00314,d25264652c35cc6bcb202d210959823b8d30f263b8f29c7c7c429a7ea710a714,183170d84c84408c,0,D-DD,Depression / Deep Depression,2000222N14143,EWINIAR,WP,MM,pacific_ocean,western_pacific,2000-08-18T09:00:00Z,39.3,149.6,TS,33.0,DD,,,-1,33.0,True
CLS_00039,data/processed/classification/D-DD/CLS_00039.png,2000-08-26T06:00:00Z,0.0,0.0,253.03,187.13,0.2767,0.50361,a2770415948c953654e045ce3a2ee83e59812bd1af1cb21625345448a148081b,617c7c7cfccdc606,0,D-DD,Depression / Deep Depression,2000237N08138,PRAPIROON,WP,MM,pacific_ocean,western_pacific,2000-08-26T06:00:00Z,16.5,131.7,TS,30.0,DD,,tokyo,-1,30.0,True
CLS_00040,data/processed/classification/D-DD/CLS_00040.png,2000-09-01T00:00:00Z,0.0,0.0,273.78,195.29,0.08214,0.03379,8e37dcb8f6187587e90b24788b08a1c4a768b940339dd5cbd11c763423e495b0,13677c71de1b4233,0,D-DD,Depression / Deep Depression,2000241N15223,JOHN,EP,CP,pacific_ocean,eastern_pacific,2000-09-01T00:00:00Z,17.3,-141.9,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00041,data/processed/classification/D-DD/CLS_00041.png,2000-09-01T09:00:00Z,0.0,0.0,265.54,186.95,0.20219,0.33811,c1e249fcaf0c301cee2c7f0ee651ad400d4c197fd5762abbe355688f9c81e4da,9bb870e060d1a46e,0,D-DD,Depression / Deep Depression,2000240N22115,MARIA,WP,MM,pacific_ocean,western_pacific,2000-09-01T09:00:00Z,24.8,114.3,TS,33.0,DD,,,-1,33.0,True
CLS_00042,data/processed/classification/D-DD/CLS_00042.png,2000-09-01T21:00:00Z,0.0,0.0,275.64,192.74,0.10176,0.13243,ef38d3d4ad8639b779005f2c614365490867d767de0f8134b9ca444d824c3fed,f94979f030902402,0,D-DD,Depression / Deep Depression,2000245N14157,SAOMAI,WP,MM,pacific_ocean,western_pacific,2000-09-01T21:00:00Z,16.0,157.6,TS,20.0,D,,,-1,20.0,True
CLS_00043,data/processed/classification/D-DD/CLS_00043.png,2000-09-05T09:00:00Z,0.0,0.0,267.23,191.16,0.10434,0.27467,033c7f12cfe0cc4ae5d1df7ba21bc08d0748b85bd57023ad92a6ee689dc8ab8d,0830dcf4e2e1e1cc,0,D-DD,Depression / Deep Depression,2000249N15258,LANE,EP,MM,pacific_ocean,eastern_pacific,2000-09-05T09:00:00Z,15.8,-104.4,TS,33.0,DD,,,-1,33.0,True
CLS_00044,data/processed/classification/D-DD/CLS_00044.png,2000-09-06T09:00:00Z,0.0,0.0,265.4,186.37,0.19226,0.16763,99974087be09cb14011b3bf96e9db2d57a04011f5d8bcad1b3ed736c150aebc4,9d1fdbf07979e383,0,D-DD,Depression / Deep Depression,2000248N18126,BOPHA,WP,MM,pacific_ocean,western_pacific,2000-09-06T09:00:00Z,22.3,136.4,TS,28.0,DD,,,-1,28.0,True
CLS_00045,data/processed/classification/D-DD/CLS_00045.png,2000-09-14T15:00:00Z,0.0,0.0,264.86,191.12,0.1808,0.28544,a0c8809c61d819f106651d4a5c67673a4ab18a927706e6a5ea0009b5df0f49a5,a740425070b9d8b0,0,D-DD,Depression / Deep Depression,2000258N22138,SONAMU,WP,MM,pacific_ocean,western_pacific,2000-09-14T15:00:00Z,22.4,140.3,TS,33.0,DD,,,-1,33.0,True
CLS_00046,data/processed/classification/D-DD/CLS_00046.png,2000-09-30T12:00:00Z,0.0,0.0,284.46,208.16,0.01613,0.06172,5451c765819bf3538238f7bbdb3afcf878b273c3028f187ae8e59c4b50e6853f,9aba78f06c6cacad,0,D-DD,Depression / Deep Depression,2000272N24165,UNNAMED,WP,MM,pacific_ocean,western_pacific,2000-09-30T12:00:00Z,29.8,168.1,TS,25.0,D,,,-1,25.0,True
CLS_00047,data/processed/classification/D-DD/CLS_00047.png,2000-10-02T18:00:00Z,0.0,0.0,284.96,198.35,0.04495,0.16686,f647fd5aa4e4dec8d985f5d7a86cdf72ca4bf90321965cda6a989a72f4ba33dc,4747456371b59bc5,0,D-DD,Depression / Deep Depression,2000277N15257,OLIVIA,EP,MM,pacific_ocean,eastern_pacific,2000-10-02T18:00:00Z,15.3,-103.5,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00048,data/processed/classification/D-DD/CLS_00048.png,2000-10-14T21:00:00Z,0.0,0.0,265.11,185.26,0.15638,0.24355,1f7cd0ed0cfd330f976632a2554cc25406443272ff51c4628a646ed89264fc0a,8566e6e7c7d6b4e1,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-14T21:00:00Z,14.7,88.7,TS,25.0,D,,,-1,25.0,True
CLS_00049,data/processed/classification/D-DD/CLS_00049.png,2000-10-15T09:00:00Z,0.0,0.0,267.37,187.74,0.17233,0.24391,f52587b624a3ef51aceec53f11cd59ddbb9e5d869f2c291c7570f5311bcad278,dab0e3c6cede7c2c,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-15T09:00:00Z,14.5,87.4,TS,25.0,D,,,-1,25.0,True
CLS_00050,data/processed/classification/D-DD/CLS_00050.png,2000-10-15T21:00:00Z,0.0,0.0,265.18,182.63,0.16704,0.32402,abd0272b8b7468fb7942d8f8252fb99b237cdbcf84e80ccecbf777ea9aa7b1ef,a2e6e4e7c7cb3efd,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-15T21:00:00Z,14.4,86.3,TS,30.0,DD,,,-1,30.0,True
CLS_00051,data/processed/classification/D-DD/CLS_00051.png,2000-10-17T12:00:00Z,0.0,0.0,270.64,187.78,0.08335,0.10769,e82377657ff94760070c74587958e9203523b66f35ad5469d5493d7c9537432f,edf383cbcb1726fb,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-17T12:00:00Z,14.1,84.0,TS,30.0,DD,35.0,newdelhi,-1,35.0,True
CLS_00052,data/processed/classification/D-DD/CLS_00052.png,2000-10-18T03:00:00Z,0.0,0.0,273.21,182.57,0.12725,0.3158,d8a8c245395a692c2651d7d060b006eb8d48efdc97c34d6168fbcdd58f200e77,8fbdc7e3c1c1318f,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-18T03:00:00Z,14.4,83.4,TS,30.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00053,data/processed/classification/D-DD/CLS_00053.png,2000-10-18T15:00:00Z,0.0,0.0,280.96,187.88,0.05586,0.1668,0326eaa00541514ac699c2944abed8307128d902f3f033ad5fed1c13daa1234f,f11d61c1c81e05b5,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-18T15:00:00Z,14.6,82.6,TS,25.0,D,,,-1,25.0,True
CLS_00054,data/processed/classification/D-DD/CLS_00054.png,2000-10-25T09:00:00Z,0.0,0.0,257.79,185.42,0.26626,0.2629,a7164bd19b27367000860758cf0cea7a66356c22d5aa9a00bd452af30120147b,cd3231a0b2129220,0,D-DD,Depression / Deep Depression,2000299N08139,XANGSANE,WP,MM,pacific_ocean,western_pacific,2000-10-25T09:00:00Z,9.0,136.3,TS,25.0,D,,,-1,25.0,True
CLS_00055,data/processed/classification/D-DD/CLS_00055.png,2000-10-26T03:00:00Z,0.0,0.0,273.92,187.92,0.11359,0.39438,69eab40659922f6243e04af309d48a1f19008351d619243972b38ba610477c9a,3cf8b071c862e7de,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-26T03:00:00Z,15.9,89.7,TS,28.0,DD,25.0,newdelhi,-1,25.0,True
CLS_00056,data/processed/classification/D-DD/CLS_00056.png,2000-10-26T21:00:00Z,0.0,0.0,269.62,192.2,0.14406,0.29172,5341d34ec2c4d609b30d043eef8f8031f4220b8e958db770e910a06ff76115d7,3bfcfcf0b3f3465c,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-26T21:00:00Z,17.3,88.2,TS,30.0,DD,,,-1,30.0,True
CLS_00057,data/processed/classification/D-DD/CLS_00057.png,2000-10-27T15:00:00Z,0.0,0.0,272.87,185.06,0.09527,0.29834,728b78596a0b1ece75358d21827c58ed00eda75fb6768f31993ad16e5a663efd,fe7c70f232366666,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-27T15:00:00Z,19.8,88.4,TS,33.0,DD,,,-1,33.0,True
CLS_00058,data/processed/classification/D-DD/CLS_00058.png,2000-10-28T03:00:00Z,0.0,0.0,273.06,200.93,0.11434,0.22012,a5043e193c838e9972c38681fcdd12ef366ccc9ca630c77d21cb6bf675de1a10,8ff87cf8f8f813f2,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-28T03:00:00Z,22.5,89.1,TS,28.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00059,data/processed/classification/D-DD/CLS_00059.png,2000-11-04T18:00:00Z,0.0,0.0,285.89,200.27,0.03108,0.11154,4bd85af2a3a010f760c43e126c88fcbc3fbef802fd0ad5412f84a1c5034d2b1c,bebe75b0b2368cda,0,D-DD,Depression / Deep Depression,2000309N10270,ROSA,EP,MM,pacific_ocean,eastern_pacific,2000-11-04T18:00:00Z,10.4,-94.2,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00060,data/processed/classification/D-DD/CLS_00060.png,2000-11-07T15:00:00Z,0.0,0.0,283.68,197.11,0.00592,0.0,61df60c20280abf3073a51eb94a00699fd054af783a8b63b28f28e9173bb53af,2c327561616737b3,0,D-DD,Depression / Deep Depression,2000305N06136,BEBINCA,WP,MM,pacific_ocean,western_pacific,2000-11-07T15:00:00Z,20.9,113.9,TS,25.0,D,,,-1,25.0,True
