sample_id,label,class_code,class_name,storm_id,name,basin,subbasin,region,subregion,timestamp,latitude,longitude,nature,usa_wind_kt,imd_category_of_usa_wind,wmo_wind_kt,wmo_agency,usa_sshs,dataset_a_wind_kt,in_dataset_a
CLS_00014,0,D-DD,Depression / Deep Depression,2000056S17152,STEVE,SP,EA,pacific_ocean,southern_pacific,2000-03-01T06:00:00Z,-15.6,135.4,TS,30.0,DD,30.0,bom,-1,30.0,True
CLS_00015,0,D-DD,Depression / Deep Depression,2000056S17152,STEVE,SI,WA,south_indian_ocean,,2000-03-02T03:00:00Z,-14.8,132.7,TS,25.0,D,,,-1,25.0,True
CLS_00016,0,D-DD,Depression / Deep Depression,2000058S14063,GLORIA,SI,MM,south_indian_ocean,,2000-03-02T18:00:00Z,-16.6,47.7,TS,25.0,D,,reunion,-1,25.0,True
CLS_00017,0,D-DD,Depression / Deep Depression,2000060S12086,UNNAMED,SI,MM,south_indian_ocean,,2000-03-05T15:00:00Z,-14.7,80.5,TS,25.0,D,,,-1,25.0,True
CLS_00018,0,D-DD,Depression / Deep Depression,2000064S19209,LEO,SP,MM,pacific_ocean,southern_pacific,2000-03-06T09:00:00Z,-24.3,-162.8,TS,25.0,D,,,-1,25.0,True
CLS_00019,0,D-DD,Depression / Deep Depression,2000067S15189,MONA,SP,MM,pacific_ocean,southern_pacific,2000-03-08T06:00:00Z,-19.5,-175.1,TS,30.0,DD,25.0,nadi,-1,25.0,True
CLS_00020,0,D-DD,Depression / Deep Depression,2000075S17119,OLGA,SI,WA,south_indian_ocean,,2000-03-16T18:00:00Z,-16.7,113.5,TS,30.0,DD,35.0,bom,-1,35.0,True
CLS_00021,0,D-DD,Depression / Deep Depression,2000091S14156,TESSI,SP,EA,pacific_ocean,southern_pacific,2000-03-31T06:00:00Z,-14.7,155.2,TS,20.0,D,30.0,bom,-1,30.0,True
CLS_00022,0,D-DD,Depression / Deep Depression,2000089S20168,VAUGHAN,SP,MM,pacific_ocean,southern_pacific,2000-03-31T09:00:00Z,-19.9,167.2,TS,25.0,D,,,-1,25.0,True
CLS_00023,0,D-DD,Depression / Deep Depression,2000091S14156,TESSI,SP,EA,pacific_ocean,southern_pacific,2000-03-31T18:00:00Z,-15.4,153.8,TS,25.0,D,35.0,bom,-1,35.0,True
CLS_00024,0,D-DD,Depression / Deep Depression,2000089S20168,VAUGHAN,SP,MM,pacific_ocean,southern_pacific,2000-04-01T09:00:00Z,-17.9,165.7,TS,25.0,D,,,-1,25.0,True
CLS_00025,0,D-DD,Depression / Deep Depression,2000104S17182,NEIL,SP,MM,pacific_ocean,southern_pacific,2000-04-14T06:00:00Z,-18.4,179.8,TS,25.0,D,25.0,nadi,-1,25.0,True
CLS_00026,0,D-DD,Depression / Deep Depression,2000104S17182,NEIL,SP,MM,pacific_ocean,southern_pacific,2000-04-16T21:00:00Z,-23.2,180.7,TS,33.0,DD,,,-1,33.0,True
CLS_00027,0,D-DD,Depression / Deep Depression,2000103S10095,INNOCENTE,SI,MM,south_indian_ocean,,2000-04-19T12:00:00Z,-18.2,69.6,TS,25.0,D,30.0,reunion,-1,30.0,True
CLS_00028,0,D-DD,Depression / Deep Depression,2000105S09127,ROSITA,SI,WA,south_indian_ocean,,2000-04-20T21:00:00Z,-20.5,128.3,TS,30.0,DD,,,-1,30.0,True
CLS_00029,0,D-DD,Depression / Deep Depression,2000138N16119,LONGWANG,WP,MM,pacific_ocean,western_pacific,2000-05-18T09:00:00Z,18.6,123.0,TS,20.0,D,,,-1,20.0,True
CLS_00030,0,D-DD,Depression / Deep Depression,2000164N12256,BUD,EP,MM,pacific_ocean,eastern_pacific,2000-06-16T15:00:00Z,19.9,-111.1,TS,30.0,DD,,,-1,30.0,True
CLS_00031,0,D-DD,Depression / Deep Depression,2000203N17249,UNNAMED,EP,MM,pacific_ocean,eastern_pacific,2000-07-21T06:00:00Z,17.0,-110.7,TS,25.0,D,,,-1,25.0,True
CLS_00032,0,D-DD,Depression / Deep Depression,2000202N12131,BOLAVEN,WP,MM,pacific_ocean,western_pacific,2000-07-22T12:00:00Z,17.3,124.4,TS,25.0,D,,,-1,25.0,True
CLS_00033,0,D-DD,Depression / Deep Depression,2000206N11266,EMILIA,EP,MM,pacific_ocean,eastern_pacific,2000-07-29T15:00:00Z,20.3,-119.5,TS,33.0,DD,,,-1,33.0,True
CLS_00034,0,D-DD,Depression / Deep Depression,2000214N22155,JELAWAT,WP,MM,pacific_ocean,western_pacific,2000-07-31T18:00:00Z,22.0,154.3,TS,20.0,D,,tokyo,-1,20.0,True
CLS_00035,0,D-DD,Depression / Deep Depression,2000214S06080,UNNAMED,SI,MM,south_indian_ocean,,2000-08-01T15:00:00Z,-6.2,77.9,TS,33.0,DD,,,-1,33.0,True
CLS_00036,0,D-DD,Depression / Deep Depression,2000215N15254,FABIO,EP,MM,pacific_ocean,eastern_pacific,2000-08-06T12:00:00Z,15.5,-124.8,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00037,0,D-DD,Depression / Deep Depression,2000220N24149,UNNAMED,WP,MM,pacific_ocean,western_pacific,2000-08-09T21:00:00Z,35.5,148.2,TS,30.0,DD,,,-1,30.0,True
CLS_00038,0,D-DD,Depression / Deep Depression,2000222N14143,EWINIAR,WP,MM,pacific_ocean,western_pacific,2000-08-18T09:00:00Z,39.3,149.6,TS,33.0,DD,,,-1,33.0,True
CLS_00039,0,D-DD,Depression / Deep Depression,2000237N08138,PRAPIROON,WP,MM,pacific_ocean,western_pacific,2000-08-26T06:00:00Z,16.5,131.7,TS,30.0,DD,,tokyo,-1,30.0,True
CLS_00040,0,D-DD,Depression / Deep Depression,2000241N15223,JOHN,EP,CP,pacific_ocean,eastern_pacific,2000-09-01T00:00:00Z,17.3,-141.9,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00041,0,D-DD,Depression / Deep Depression,2000240N22115,MARIA,WP,MM,pacific_ocean,western_pacific,2000-09-01T09:00:00Z,24.8,114.3,TS,33.0,DD,,,-1,33.0,True
CLS_00042,0,D-DD,Depression / Deep Depression,2000245N14157,SAOMAI,WP,MM,pacific_ocean,western_pacific,2000-09-01T21:00:00Z,16.0,157.6,TS,20.0,D,,,-1,20.0,True
CLS_00043,0,D-DD,Depression / Deep Depression,2000249N15258,LANE,EP,MM,pacific_ocean,eastern_pacific,2000-09-05T09:00:00Z,15.8,-104.4,TS,33.0,DD,,,-1,33.0,True
CLS_00044,0,D-DD,Depression / Deep Depression,2000248N18126,BOPHA,WP,MM,pacific_ocean,western_pacific,2000-09-06T09:00:00Z,22.3,136.4,TS,28.0,DD,,,-1,28.0,True
CLS_00045,0,D-DD,Depression / Deep Depression,2000258N22138,SONAMU,WP,MM,pacific_ocean,western_pacific,2000-09-14T15:00:00Z,22.4,140.3,TS,33.0,DD,,,-1,33.0,True
CLS_00046,0,D-DD,Depression / Deep Depression,2000272N24165,UNNAMED,WP,MM,pacific_ocean,western_pacific,2000-09-30T12:00:00Z,29.8,168.1,TS,25.0,D,,,-1,25.0,True
CLS_00047,0,D-DD,Depression / Deep Depression,2000277N15257,OLIVIA,EP,MM,pacific_ocean,eastern_pacific,2000-10-02T18:00:00Z,15.3,-103.5,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00048,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-14T21:00:00Z,14.7,88.7,TS,25.0,D,,,-1,25.0,True
CLS_00049,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-15T09:00:00Z,14.5,87.4,TS,25.0,D,,,-1,25.0,True
CLS_00050,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-15T21:00:00Z,14.4,86.3,TS,30.0,DD,,,-1,30.0,True
CLS_00051,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-17T12:00:00Z,14.1,84.0,TS,30.0,DD,35.0,newdelhi,-1,35.0,True
CLS_00052,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-18T03:00:00Z,14.4,83.4,TS,30.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00053,0,D-DD,Depression / Deep Depression,2000289N15089,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-18T15:00:00Z,14.6,82.6,TS,25.0,D,,,-1,25.0,True
CLS_00054,0,D-DD,Depression / Deep Depression,2000299N08139,XANGSANE,WP,MM,pacific_ocean,western_pacific,2000-10-25T09:00:00Z,9.0,136.3,TS,25.0,D,,,-1,25.0,True
CLS_00055,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-26T03:00:00Z,15.9,89.7,TS,28.0,DD,25.0,newdelhi,-1,25.0,True
CLS_00056,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-26T21:00:00Z,17.3,88.2,TS,30.0,DD,,,-1,30.0,True
CLS_00057,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-27T15:00:00Z,19.8,88.4,TS,33.0,DD,,,-1,33.0,True
CLS_00058,0,D-DD,Depression / Deep Depression,2000299N13093,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-10-28T03:00:00Z,22.5,89.1,TS,28.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00059,0,D-DD,Depression / Deep Depression,2000309N10270,ROSA,EP,MM,pacific_ocean,eastern_pacific,2000-11-04T18:00:00Z,10.4,-94.2,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00060,0,D-DD,Depression / Deep Depression,2000305N06136,BEBINCA,WP,MM,pacific_ocean,western_pacific,2000-11-07T15:00:00Z,20.9,113.9,TS,25.0,D,,,-1,25.0,True
CLS_00061,0,D-DD,Depression / Deep Depression,2000331N09092,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-11-26T06:00:00Z,9.3,90.8,TS,30.0,DD,25.0,newdelhi,-1,25.0,True
CLS_00062,0,D-DD,Depression / Deep Depression,2000331N09092,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2000-11-30T18:00:00Z,11.5,75.7,TS,25.0,D,,,-1,25.0,True
CLS_00063,0,D-DD,Depression / Deep Depression,2000331N09092,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2000-12-02T15:00:00Z,11.7,69.4,TS,30.0,DD,,,-1,30.0,True
CLS_00064,0,D-DD,Depression / Deep Depression,2000333S11140,SAM,SI,WA,south_indian_ocean,,2000-12-04T00:00:00Z,-14.2,127.6,TS,30.0,DD,30.0,bom,-1,30.0,True
CLS_00065,0,D-DD,Depression / Deep Depression,2000331N09092,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2000-12-04T09:00:00Z,10.1,61.2,TS,28.0,DD,,,-1,28.0,True
CLS_00066,0,D-DD,Depression / Deep Depression,2000358N08086,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-12-23T06:00:00Z,7.8,85.8,TS,30.0,DD,25.0,newdelhi,-1,25.0,True
CLS_00067,0,D-DD,Depression / Deep Depression,2000358N08086,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-12-24T00:00:00Z,7.9,84.2,TS,30.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00068,0,D-DD,Depression / Deep Depression,2000358N08086,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2000-12-24T12:00:00Z,8.2,83.7,TS,30.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00069,0,D-DD,Depression / Deep Depression,2000358N08086,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2000-12-28T09:00:00Z,8.7,77.0,TS,30.0,DD,,,-1,30.0,True
CLS_00070,0,D-DD,Depression / Deep Depression,2000364N07130,SOULIK,WP,MM,pacific_ocean,western_pacific,2000-12-29T09:00:00Z,9.1,129.9,TS,25.0,D,,,-1,25.0,True
CLS_00071,0,D-DD,Depression / Deep Depression,2001018S12086,CHARLY,SI,MM,south_indian_ocean,,2001-01-18T03:00:00Z,-12.6,86.4,TS,25.0,D,,,-1,25.0,True
CLS_00072,0,D-DD,Depression / Deep Depression,2001039S11139,WINSOME,SP,EA,pacific_ocean,southern_pacific,2001-02-10T00:00:00Z,-11.6,137.5,TS,25.0,D,30.0,bom,-1,30.0,True
CLS_00073,0,D-DD,Depression / Deep Depression,2001039S11139,WINSOME,SI,WA,south_indian_ocean,,2001-02-12T03:00:00Z,-16.4,132.4,TS,25.0,D,,,-1,25.0,True
CLS_00074,0,D-DD,Depression / Deep Depression,2001047S17157,UNNAMED,SP,EA,pacific_ocean,southern_pacific,2001-02-16T00:00:00Z,-16.8,157.4,TS,25.0,D,,,-1,25.0,True
CLS_00075,0,D-DD,Depression / Deep Depression,2001047S17157,UNNAMED,SP,MM,pacific_ocean,southern_pacific,2001-02-18T06:00:00Z,-22.2,168.3,TS,30.0,DD,,,-1,30.0,True
CLS_00076,0,D-DD,Depression / Deep Depression,2001047N09134,UNNAMED,WP,MM,pacific_ocean,western_pacific,2001-02-19T06:00:00Z,11.4,122.0,TS,25.0,D,,,-1,25.0,True
CLS_00077,0,D-DD,Depression / Deep Depression,2001049S17198,OMA,SP,MM,pacific_ocean,southern_pacific,2001-02-20T06:00:00Z,-21.2,-164.0,TS,30.0,DD,30.0,nadi,-1,30.0,True
CLS_00078,0,D-DD,Depression / Deep Depression,2001054S15155,ABIGAIL,SP,EA,pacific_ocean,southern_pacific,2001-02-25T06:00:00Z,-16.7,141.0,TS,30.0,DD,30.0,bom,-1,30.0,True
CLS_00079,0,D-DD,Depression / Deep Depression,2001060S19223,RITA,SP,MM,pacific_ocean,southern_pacific,2001-02-28T18:00:00Z,-19.3,-136.8,TS,25.0,D,,,-1,25.0,True
CLS_00080,0,D-DD,Depression / Deep Depression,2001054S15155,ABIGAIL,SI,WA,south_indian_ocean,,2001-03-02T03:00:00Z,-18.6,126.9,TS,25.0,D,,,-1,25.0,True
CLS_00081,0,D-DD,Depression / Deep Depression,2001091S11111,WALTER,SI,WA,south_indian_ocean,,2001-04-02T09:00:00Z,-9.7,107.1,TS,25.0,D,,,-1,25.0,True
CLS_00082,0,D-DD,Depression / Deep Depression,2001093S10062,EVARISTE,SI,MM,south_indian_ocean,,2001-04-03T06:00:00Z,-9.9,61.5,TS,30.0,DD,25.0,reunion,-1,25.0,True
CLS_00083,0,D-DD,Depression / Deep Depression,2001094S12172,SOSE,SP,MM,pacific_ocean,southern_pacific,2001-04-04T12:00:00Z,-12.5,168.8,TS,25.0,D,,,-1,25.0,True
CLS_00084,0,D-DD,Depression / Deep Depression,2001094S12172,SOSE,SP,MM,pacific_ocean,southern_pacific,2001-04-05T15:00:00Z,-13.6,166.2,TS,30.0,DD,,,-1,30.0,True
CLS_00085,0,D-DD,Depression / Deep Depression,2001106S08137,ALISTAIR,SP,EA,pacific_ocean,southern_pacific,2001-04-16T00:00:00Z,-8.2,135.5,TS,25.0,D,25.0,bom,-1,25.0,True
CLS_00086,0,D-DD,Depression / Deep Depression,2001106S08137,ALISTAIR,SI,WA,south_indian_ocean,,2001-04-23T12:00:00Z,-24.2,111.5,TS,25.0,D,40.0,bom,-1,40.0,True
CLS_00087,0,D-DD,Depression / Deep Depression,2001171N12234,BARBARA,EP,CP,pacific_ocean,eastern_pacific,2001-06-25T09:00:00Z,21.3,-154.1,TS,25.0,D,,,-1,25.0,True
CLS_00088,0,D-DD,Depression / Deep Depression,2001192N21177,UNNAMED,WP,MM,pacific_ocean,western_pacific,2001-07-10T18:00:00Z,21.4,176.9,TS,25.0,D,,,-1,25.0,True
CLS_00089,0,D-DD,Depression / Deep Depression,2001194N15252,COSME,EP,MM,pacific_ocean,eastern_pacific,2001-07-14T21:00:00Z,18.5,-115.5,TS,28.0,DD,,,-1,28.0,True
CLS_00090,0,D-DD,Depression / Deep Depression,2001202N14243,ERICK,EP,MM,pacific_ocean,eastern_pacific,2001-07-20T21:00:00Z,14.1,-117.8,TS,30.0,DD,,,-1,30.0,True
CLS_00091,0,D-DD,Depression / Deep Depression,2001202N23152,KONG-REY,WP,MM,pacific_ocean,western_pacific,2001-07-21T06:00:00Z,24.0,151.8,TS,25.0,D,,tokyo,-1,25.0,True
CLS_00092,0,D-DD,Depression / Deep Depression,2001204N19127,YUTU,WP,MM,pacific_ocean,western_pacific,2001-07-23T00:00:00Z,19.4,124.0,TS,25.0,D,,tokyo,-1,25.0,True
CLS_00093,0,D-DD,Depression / Deep Depression,2001206N14134,TORAJI,WP,MM,pacific_ocean,western_pacific,2001-07-26T03:00:00Z,16.1,131.2,TS,25.0,D,,,-1,25.0,True
CLS_00094,0,D-DD,Depression / Deep Depression,2001212N10158,MAN-YI,WP,MM,pacific_ocean,western_pacific,2001-08-01T15:00:00Z,10.5,153.2,TS,23.0,D,,,-1,23.0,True
CLS_00095,0,D-DD,Depression / Deep Depression,2001236N21161,UNNAMED,WP,MM,pacific_ocean,western_pacific,2001-08-25T00:00:00Z,23.7,162.4,TS,30.0,DD,,,-1,30.0,True
CLS_00096,0,D-DD,Depression / Deep Depression,2001238N16139,WUTIP,WP,MM,pacific_ocean,western_pacific,2001-08-26T09:00:00Z,16.0,140.1,TS,25.0,D,,,-1,25.0,True
CLS_00097,0,D-DD,Depression / Deep Depression,2001246N19156,DANAS,WP,MM,pacific_ocean,western_pacific,2001-09-03T06:00:00Z,18.9,155.7,TS,25.0,D,,tokyo,-1,25.0,True
CLS_00098,0,D-DD,Depression / Deep Depression,2001248N17251,HENRIETTE,EP,MM,pacific_ocean,eastern_pacific,2001-09-08T09:00:00Z,22.2,-133.3,TS,33.0,DD,,,-1,33.0,True
CLS_00099,0,D-DD,Depression / Deep Depression,2001248N23125,NARI,WP,MM,pacific_ocean,western_pacific,2001-09-18T15:00:00Z,22.9,120.2,TS,33.0,DD,,,-1,33.0,True
CLS_00100,0,D-DD,Depression / Deep Depression,2001266N10217,UNNAMED,EP,CP,pacific_ocean,eastern_pacific,2001-09-24T00:00:00Z,10.2,-151.0,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00101,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-24T15:00:00Z,16.9,69.1,TS,25.0,D,,,-1,25.0,True
CLS_00102,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-25T09:00:00Z,17.1,68.1,TS,28.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00103,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-26T03:00:00Z,18.0,67.2,TS,33.0,DD,35.0,newdelhi,-1,35.0,True
CLS_00104,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-27T09:00:00Z,18.7,63.5,TS,30.0,DD,,,-1,30.0,True
CLS_00105,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-27T21:00:00Z,19.0,62.3,TS,25.0,D,25.0,newdelhi,-1,25.0,True
CLS_00106,0,D-DD,Depression / Deep Depression,2001267N17070,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-09-28T12:00:00Z,19.4,61.1,TS,20.0,D,,,-1,20.0,True
CLS_00107,0,D-DD,Depression / Deep Depression,2001264N21126,LEKIMA,WP,MM,pacific_ocean,western_pacific,2001-09-29T00:00:00Z,25.3,120.3,TS,30.0,DD,,tokyo,-1,30.0,True
CLS_00108,0,D-DD,Depression / Deep Depression,2001275N12258,LORENA,EP,MM,pacific_ocean,eastern_pacific,2001-10-02T06:00:00Z,12.0,-103.1,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00109,0,D-DD,Depression / Deep Depression,2001276N13146,KROSA,WP,MM,pacific_ocean,western_pacific,2001-10-03T21:00:00Z,14.9,144.3,TS,33.0,DD,,,-1,33.0,True
CLS_00110,0,D-DD,Depression / Deep Depression,2001277S10082,UNNAMED,SI,MM,south_indian_ocean,,2001-10-05T06:00:00Z,-10.2,82.7,TS,25.0,D,,,-1,25.0,True
CLS_00111,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-08T06:00:00Z,17.7,70.8,TS,25.0,D,,,-1,25.0,True
CLS_00112,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-09T03:00:00Z,18.5,69.7,TS,28.0,DD,30.0,newdelhi,-1,30.0,True
CLS_00113,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-10T18:00:00Z,18.6,67.5,TS,25.0,D,,,-1,25.0,True
CLS_00114,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-11T15:00:00Z,18.7,66.1,TS,18.0,D,,,-1,18.0,True
CLS_00115,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-12T15:00:00Z,19.5,66.3,TS,20.0,D,,,-1,20.0,True
CLS_00116,0,D-DD,Depression / Deep Depression,2001281N18071,UNNAMED,NI,AS,north_indian_ocean,arabian_sea,2001-10-13T03:00:00Z,19.9,65.4,TS,20.0,D,,,-1,20.0,True
CLS_00117,0,D-DD,Depression / Deep Depression,2001291N05158,PODUL,WP,MM,pacific_ocean,western_pacific,2001-10-18T00:00:00Z,5.2,156.7,TS,25.0,D,,tokyo,-1,25.0,True
CLS_00118,0,D-DD,Depression / Deep Depression,2001294N11235,NARDA,EP,CP,pacific_ocean,eastern_pacific,2001-10-24T00:00:00Z,16.4,-141.2,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00119,0,D-DD,Depression / Deep Depression,2001298S07098,ALEX:ANDRE,SI,WA,south_indian_ocean,,2001-10-25T09:00:00Z,-7.2,96.1,TS,25.0,D,,,-1,25.0,True
CLS_00120,0,D-DD,Depression / Deep Depression,2001304N12237,OCTAVE,EP,MM,pacific_ocean,eastern_pacific,2001-11-03T18:00:00Z,18.8,-132.5,TS,30.0,DD,30.0,hurdat_epa,-1,30.0,True
CLS_00121,0,D-DD,Depression / Deep Depression,2001309N10130,LINGLING,WP,MM,pacific_ocean,western_pacific,2001-11-06T15:00:00Z,10.5,125.6,TS,30.0,DD,,,-1,30.0,True
CLS_00122,0,D-DD,Depression / Deep Depression,2001313N12084,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2001-11-09T15:00:00Z,13.4,82.5,TS,25.0,D,,,-1,25.0,True
CLS_00123,0,D-DD,Depression / Deep Depression,2001313N12084,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2001-11-10T03:00:00Z,13.9,82.1,TS,25.0,D,,,-1,25.0,True
CLS_00124,0,D-DD,Depression / Deep Depression,2001313N12084,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2001-11-11T00:00:00Z,15.1,82.7,TS,30.0,DD,,,-1,30.0,True
CLS_00125,0,D-DD,Depression / Deep Depression,2001313N12084,UNNAMED,NI,BB,north_indian_ocean,bay_of_bengal,2001-11-12T03:00:00Z,16.9,85.6,TS,25.0,D,,,-1,25.0,True
CLS_00126,0,D-DD,Depression / Deep Depression,2001320S11146,UNNAMED,SP,EA,pacific_ocean,southern_pacific,2001-11-16T15:00:00Z,-9.6,143.4,TS,18.0,D,,,-1,18.0,True
CLS_00127,0,D-DD,Depression / Deep Depression,2001320S11146,UNNAMED,SP,EA,pacific_ocean,southern_pacific,2001-11-18T06:00:00Z,-7.2,139.2,TS,25.0,D,20.0,bom,-1,20.0,True
CLS_00128,0,D-DD,Depression / Deep Depression,2001323N05107,UNNAMED,WP,MM,pacific_ocean,western_pacific,2001-11-20T03:00:00Z,5.6,110.6,TS,25.0,D,,,-1,25.0,True
CLS_00129,0,D-DD,Depression / Deep Depression,2001320S11146,UNNAMED,SI,WA,south_indian_ocean,,2001-11-21T03:00:00Z,-6.6,129.8,TS,33.0,DD,,,-1,33.0,True
CLS_00130,0,D-DD,Depression / Deep Depression,2001324S12081,UNNAMED,SI,MM,south_indian_ocean,,2001-11-23T15:00:00Z,-12.9,78.8,TS,25.0,D,,,-1,25.0,True
