SAMPLE_ID,nearest_system_deg,nearest_system_nature,nearest_system_sid,nearest_ds_ts_mx_deg,systems_in_crop,natures_in_crop
NONCYCLONE_00039,10.090828700378825,TS,2003315N09067,10.090828700378825,0,
NONCYCLONE_00040,28.11140686290335,TS,2003129N05091,28.11140686290335,0,
NONCYCLONE_00041,22.19058882371588,TS,2024255N24080,22.19058882371588,0,
NONCYCLONE_00042,31.882592393382915,TS,2016230N21089,31.882592393382915,0,
NONCYCLONE_00043,22.57825083039169,TS,2003206N21089,22.57825083039169,0,
NONCYCLONE_00044,34.05786774116549,TS,2011360N09088,34.05786774116549,0,
NONCYCLONE_00045,20.900372088800793,TS,2025250N25073,20.900372088800793,0,
NONCYCLONE_00046,35.59674399949068,TS,2023317N10094,35.59674399949068,0,
NONCYCLONE_00047,11.815595124162684,TS,2014003N08086,11.815595124162684,0,
NONCYCLONE_00048,28.29786037387445,TS,2005349N06090,28.29786037387445,0,
NONCYCLONE_00049,19.20638514606281,TS,2004125S08084,19.20638514606281,0,
NONCYCLONE_00050,13.843033532576328,TS,2005349N06090,13.843033532576328,0,
NONCYCLONE_00051,11.139522112259012,DS,2005274N17086,11.139522112259012,1,DS
NONCYCLONE_00052,29.161598407913118,TS,2022140N16097,29.161598407913118,0,
NONCYCLONE_00053,21.27857353400062,TS,2009104N13088,21.27857353400062,0,
NONCYCLONE_00054,16.182673450909476,TS,2016341N08092,16.182673450909476,0,
NONCYCLONE_00055,19.65599022296601,TS,2003345N05092,19.65599022296601,0,
NONCYCLONE_00056,15.705720788370638,TS,2015207N22091,15.705720788370638,0,
NONCYCLONE_00057,22.330432751636003,TS,2004325S06078,22.330432751636003,0,
NONCYCLONE_00058,39.41618203420762,DS,2006182N20088,39.41618203420762,0,
NONCYCLONE_00059,40.41103759391012,TS,2013281N12098,40.41103759391012,0,
NONCYCLONE_00060,26.01462544382807,TS,2004274N16069,26.01462544382807,0,
NONCYCLONE_00061,20.12946312086598,TS,2024238N25077,20.12946312086598,0,
NONCYCLONE_00062,25.063016562673514,TS,2010136N09057,25.063016562673514,0,
NONCYCLONE_00063,27.164416219508215,DS,2006012N03081,27.164416219508215,0,
NONCYCLONE_00064,15.23861690016753,DS,2010137N10090,15.23861690016753,0,
NONCYCLONE_00065,26.070075534017043,TS,2022230N18095,26.070075534017043,0,
NONCYCLONE_00066,12.258676348876357,TS,2016295N13089,12.258676348876357,0,
NONCYCLONE_00067,44.569793933504066,TS,2004312S05085,44.569793933504066,0,
NONCYCLONE_00068,29.72437185514216,TS,2019301N05081,29.72437185514216,0,
NONCYCLONE_00069,32.3963041619805,TS,2006114N08090,32.3963041619805,0,
NONCYCLONE_00070,31.184958013895862,TS,2013324N07103,31.184958013895862,0,
NONCYCLONE_00071,42.18843728776454,TS,2013130N04093,42.18843728776454,0,
NONCYCLONE_00072,22.002870198460823,TS,2015207N22091,22.002870198460823,0,
NONCYCLONE_00073,13.334390069526918,TS,2001281N18071,13.334390069526918,0,
NONCYCLONE_00074,12.94623143286823,TS,2019116N02090,12.94623143286823,0,
NONCYCLONE_00075,14.834865497808437,TS,2019302N11118,14.834865497808437,0,
NONCYCLONE_00076,20.144855853735084,TS,2013339N09084,20.144855853735084,0,
NONCYCLONE_00077,37.504302592500956,TS,2005298N12088,37.504302592500956,0,
NONCYCLONE_00078,35.72332425089443,TS,2000299N13093,35.72332425089443,0,
NONCYCLONE_00079,24.51125291772592,TS,2003315N09067,24.51125291772592,0,
NONCYCLONE_00080,17.348262711569312,DS,2021312N07090,17.348262711569312,0,
NONCYCLONE_00081,17.761936553616586,TS,2019342N09062,17.761936553616586,0,
NONCYCLONE_00082,18.335401257639507,TS,2013339N09084,18.335401257639507,0,
NONCYCLONE_00083,34.71120985887122,TS,2015216N23081,34.71120985887122,0,
NONCYCLONE_00084,25.742176483767096,MX,2014159N12068,25.742176483767096,0,
NONCYCLONE_00085,38.14625613917506,TS,2016341N08092,38.14625613917506,0,
NONCYCLONE_00086,64.83431895775637,TS,2017232N19130,64.83431895775637,0,
NONCYCLONE_00087,19.15455391324354,TS,2021280N14068,19.15455391324354,0,
NONCYCLONE_00088,19.537672002615736,NR,2025252S09069,23.042725696378014,0,
NONCYCLONE_00089,11.267682045321951,TS,2000236N17084,11.267682045321951,0,
NONCYCLONE_00090,21.56742804857608,TS,2005255N20088,21.56742804857608,0,
NONCYCLONE_00091,23.19734841190446,TS,2011203N24085,23.19734841190446,0,
NONCYCLONE_00092,37.87145726536581,TS,2016295N13089,37.87145726536581,0,
NONCYCLONE_00093,21.534407835861682,TS,2013130N04093,21.534407835861682,0,
NONCYCLONE_00094,18.793559756852925,TS,2015157N13069,18.793559756852925,0,
NONCYCLONE_00095,28.936240355501624,MX,2015207N22091,28.936240355501624,0,
NONCYCLONE_00096,24.75609863815886,MX,2020353N06129,24.75609863815886,0,
NONCYCLONE_00097,22.60424266140889,TS,2005338N09093,22.60424266140889,0,
NONCYCLONE_00098,30.309501855068305,DS,2013281N12098,30.309501855068305,0,
NONCYCLONE_00099,24.157579865952858,TS,2014297N11062,24.157579865952858,0,
NONCYCLONE_00100,17.003582055669423,TS,2015312N11084,17.003582055669423,0,
NONCYCLONE_00101,17.613107558827195,TS,2011160N18070,17.613107558827195,0,
NONCYCLONE_00102,29.350345382578645,TS,2005349N06090,29.350345382578645,0,
NONCYCLONE_00103,64.8369397146726,TS,2025266N11137,64.8369397146726,0,
NONCYCLONE_00104,26.124510935465104,TS,2001264N21126,26.124510935465104,0,
NONCYCLONE_00105,21.497225232947947,TS,2017147N14087,21.497225232947947,0,
NONCYCLONE_00106,38.655787147420796,TS,2013301N13142,38.655787147420796,0,
NONCYCLONE_00107,29.520722624250457,TS,2005330N09096,29.520722624250457,0,
NONCYCLONE_00108,45.778267244384466,TS,2023129N08091,45.778267244384466,0,
NONCYCLONE_00109,17.185090625438804,TS,2020285N15087,17.185090625438804,0,
NONCYCLONE_00110,19.64803253226981,NR,2025291S08074,21.42451466913335,0,
NONCYCLONE_00111,13.349019915437603,TS,2002307S07070,13.349019915437603,0,
NONCYCLONE_00112,12.05760387591113,TS,2004125N11074,12.05760387591113,0,
NONCYCLONE_00113,17.34977410662238,TS,2022347N12074,17.34977410662238,0,
NONCYCLONE_00114,26.145563261639587,TS,2005260N20091,26.145563261639587,0,
NONCYCLONE_00115,31.863948795230574,TS,2022230N18095,31.863948795230574,0,
NONCYCLONE_00116,21.87279234838562,DS,2014279N11096,21.87279234838562,0,
NONCYCLONE_00117,24.19013256007661,TS,2012357N09064,24.19013256007661,0,
NONCYCLONE_00118,12.938024066464752,TS,2020327N08086,12.938024066464752,0,
NONCYCLONE_00119,33.558581649327365,TS,2007151N14072,33.558581649327365,0,
NONCYCLONE_00120,14.414066519869063,TS,2002295N14082,14.414066519869063,0,
NONCYCLONE_00121,12.527593213364405,TS,2017333N06082,12.527593213364405,0,
NONCYCLONE_00122,35.36451730205396,TS,2010286N18090,35.36451730205396,0,
NONCYCLONE_00123,13.862486605927048,TS,2019342N09062,13.862486605927048,0,
NONCYCLONE_00124,11.010606809483312,TS,2010151N14065,11.010606809483312,0,
NONCYCLONE_00125,11.924180639204367,TS,2021267N18094,11.924180639204367,0,
NONCYCLONE_00126,16.43375840205714,TS,2004312S05085,16.43375840205714,0,
NONCYCLONE_00127,41.71269812332059,TS,2003129N05091,41.71269812332059,0,
NONCYCLONE_00128,23.561239030046142,TS,2015280N13071,23.561239030046142,0,
NONCYCLONE_00129,24.049091950734105,TS,2021335N08096,24.049091950734105,0,
NONCYCLONE_00130,27.91782157256938,TS,2005179N22088,27.91782157256938,0,
NONCYCLONE_00131,21.36414496135834,TS,2025331N06083,21.36414496135834,0,
NONCYCLONE_00132,19.391066901704413,TS,2023156N10067,19.391066901704413,0,
NONCYCLONE_00133,30.556228891444814,TS,2008223N20086,30.556228891444814,0,
NONCYCLONE_00134,23.455692256488682,TS,2012321N14090,23.455692256488682,0,
NONCYCLONE_00135,14.576969965878046,TS,2006262N19069,14.576969965878046,0,
NONCYCLONE_00136,13.496185769155614,TS,2024238N25077,13.496185769155614,0,
NONCYCLONE_00137,28.818483568082137,DS,2004307N09068,28.818483568082137,0,
NONCYCLONE_00138,53.881150107020375,TS,2001361N01106,53.881150107020375,0,
NONCYCLONE_00139,11.317292185052397,TS,2001141N14068,11.317292185052397,0,
NONCYCLONE_00140,30.584174217432917,DS,2019335N05058,30.584174217432917,0,
NONCYCLONE_00141,22.931955485517932,DS,2024329N04089,22.931955485517932,0,
NONCYCLONE_00142,22.839250454581464,TS,2016341N08092,22.839250454581464,0,
NONCYCLONE_00143,41.576213608609635,TS,2014141N16091,41.576213608609635,0,
NONCYCLONE_00144,15.82555931246663,TS,2023334N08088,15.82555931246663,0,
NONCYCLONE_00145,17.539204835980485,TS,2000332N08133,17.539204835980485,0,
NONCYCLONE_00146,20.966663542149288,DS,2008117N11090,20.966663542149288,0,
NONCYCLONE_00147,21.55579564162562,TS,2025198N25082,21.55579564162562,0,
NONCYCLONE_00148,18.653194701159617,MX,2005298N12088,18.653194701159617,0,
NONCYCLONE_00149,22.101232742542162,TS,2004274N16069,22.101232742542162,0,
NONCYCLONE_00150,15.703145467301322,TS,2004274N16069,15.703145467301322,0,
NONCYCLONE_00151,20.871289806601762,TS,2015209N26072,20.871289806601762,0,
NONCYCLONE_00152,26.589121370892077,TS,2021267N18094,26.589121370892077,0,
NONCYCLONE_00153,13.189868521111414,TS,2022295N13093,13.189868521111414,0,
NONCYCLONE_00154,11.196231407973887,TS,2005179N22088,11.196231407973887,0,
NONCYCLONE_00155,24.30238528599099,TS,2005260N20091,24.30238528599099,0,
NONCYCLONE_00156,17.17751883643869,TS,2025270N19086,17.17751883643869,0,
NONCYCLONE_00157,27.14057309203782,DS,2022126N07095,27.14057309203782,0,
NONCYCLONE_00158,21.417884762283347,DS,2021267N18094,21.417884762283347,0,
NONCYCLONE_00159,21.315636819052614,TS,2006012N03081,21.315636819052614,0,
NONCYCLONE_00160,18.13906864556491,TS,2007151N14072,18.13906864556491,0,
NONCYCLONE_00161,12.879289870017717,TS,2003315N09067,12.879289870017717,0,
NONCYCLONE_00162,12.664177202704831,TS,2015280N13071,12.664177202704831,0,
NONCYCLONE_00163,23.687103239971254,TS,2019160N11073,23.687103239971254,0,
NONCYCLONE_00164,16.91569473714866,MX,2005301N13117,16.91569473714866,0,
NONCYCLONE_00165,21.800242291739863,TS,2020335N06090,21.800242291739863,0,
NONCYCLONE_00166,19.05208522263778,TS,2011330N06078,19.05208522263778,0,
NONCYCLONE_00167,17.1578395634228,TS,2023129N08091,17.1578395634228,0,
NONCYCLONE_00168,15.871526310595218,TS,2022347N12074,15.871526310595218,0,
NONCYCLONE_00169,25.151001140339044,TS,2008293N09060,25.151001140339044,0,
NONCYCLONE_00170,37.672979129743915,TS,2014279N11096,37.672979129743915,0,
NONCYCLONE_00171,18.811343890054264,TS,2023156N10067,18.811343890054264,0,
NONCYCLONE_00172,23.544175989632418,TS,2007172N15088,23.544175989632418,0,
NONCYCLONE_00173,30.59055529916083,TS,2011360N09088,30.59055529916083,0,
NONCYCLONE_00174,40.8076303067251,TS,2003206N21089,40.8076303067251,0,
NONCYCLONE_00175,35.23545905509385,TS,2018202N21088,35.23545905509385,0,
NONCYCLONE_00176,33.90049045339622,TS,2023129N08091,33.90049045339622,0,
NONCYCLONE_00177,28.834526641777924,TS,2015309N14067,28.834526641777924,0,
NONCYCLONE_00178,13.254864817736207,TS,2004125N11074,13.254864817736207,0,
NONCYCLONE_00179,45.061707024589694,TS,2010302S08098,45.061707024589694,0,
NONCYCLONE_00180,22.607730385917883,TS,2023273N16073,22.607730385917883,0,
NONCYCLONE_00181,31.88613739969164,TS,2003240N21089,31.88613739969164,0,
NONCYCLONE_00182,29.577995429965394,TS,2003129N05091,29.577995429965394,0,
NONCYCLONE_00183,23.23067864887853,TS,2021312N07090,23.23067864887853,0,
NONCYCLONE_00184,17.05228712040737,TS,2010280N17085,17.05228712040737,0,
NONCYCLONE_00185,42.65117725447186,TS,2018136N11054,42.65117725447186,0,
NONCYCLONE_00186,37.34054427905613,DS,2018148N17090,37.34054427905613,0,
NONCYCLONE_00187,34.46203382109912,TS,2003129N05091,34.46203382109912,0,
NONCYCLONE_00188,31.149935494386227,TS,2021256N20087,31.149935494386227,0,
NONCYCLONE_00189,11.131602341693226,TS,2025274N16087,11.131602341693226,0,
NONCYCLONE_00190,19.655845656528143,TS,2018136N11054,19.655845656528143,0,
NONCYCLONE_00191,35.9491197369305,TS,2013339N09084,35.9491197369305,0,
NONCYCLONE_00192,25.904573259845534,TS,2022226N22088,25.904573259845534,0,
NONCYCLONE_00193,23.6484555744798,DS,2006012N03081,23.6484555744798,0,
NONCYCLONE_00194,16.121358172969227,TS,2019218N21088,16.121358172969227,0,
NONCYCLONE_00195,11.079093475490462,TS,2011167N22089,11.079093475490462,0,
NONCYCLONE_00196,19.534218015932993,TS,2017333N06082,19.534218015932993,0,
NONCYCLONE_00197,16.70513906121803,TS,2018281N14088,16.70513906121803,0,
NONCYCLONE_00198,26.365011512555512,TS,2005179N22088,26.365011512555512,0,
NONCYCLONE_00199,14.807072418319256,TS,2004274N16069,14.807072418319256,0,
NONCYCLONE_00200,27.774692901264252,TS,2020285N15087,27.774692901264252,0,
NONCYCLONE_00201,16.90731730409362,TS,2024238N25077,16.90731730409362,0,
NONCYCLONE_00202,34.99486229618774,MX,2017232N19130,34.99486229618774,0,
NONCYCLONE_00203,27.236506743929326,TS,2013324N07103,27.236506743929326,0,
NONCYCLONE_00204,29.00291695750862,TS,2025206N21090,29.00291695750862,0,
NONCYCLONE_00205,20.796290020474927,TS,2025295N09068,20.796290020474927,0,
NONCYCLONE_00206,40.074548707741194,TS,2006300N07078,40.074548707741194,0,
NONCYCLONE_00207,41.061827042218916,DS,2021335N08096,41.061827042218916,0,
NONCYCLONE_00208,31.959650518306074,TS,2005349N06090,31.959650518306074,0,
NONCYCLONE_00209,37.671769527795185,TS,2020136N10088,37.671769527795185,0,
NONCYCLONE_00210,39.761311530233336,TS,2020136N10088,39.761311530233336,0,
NONCYCLONE_00211,21.681562872184625,TS,2021267N18094,21.681562872184625,0,
NONCYCLONE_00212,16.991363392111666,TS,2015207N22091,16.991363392111666,0,
NONCYCLONE_00213,23.57911925196144,TS,2019296N15066,23.57911925196144,0,
NONCYCLONE_00214,14.22215065960017,TS,2010137N10090,14.22215065960017,0,
NONCYCLONE_00215,11.042029650725672,MX,2024145N14087,11.042029650725672,0,
NONCYCLONE_00216,13.616504565663949,TS,2022338N05100,13.616504565663949,0,
NONCYCLONE_00217,13.353102781354188,DS,2024329N04089,13.353102781354188,0,
NONCYCLONE_00218,31.55637037691338,TS,2004312S05085,31.55637037691338,0,
NONCYCLONE_00219,23.256826569628682,DS,2012321N14090,23.256826569628682,0,
NONCYCLONE_00220,38.729209973312365,TS,2017340N09089,38.729209973312365,0,
NONCYCLONE_00221,31.326636692238505,TS,2022197N22069,31.326636692238505,0,
NONCYCLONE_00222,21.577358914102152,TS,2019273N23070,21.577358914102152,0,
NONCYCLONE_00223,31.614414132025164,TS,2005012N04090,31.614414132025164,0,
NONCYCLONE_00224,31.454623686928002,TS,2016295N13089,31.454623686928002,0,
NONCYCLONE_00225,32.950282897788284,TS,2022126N07095,32.950282897788284,0,
NONCYCLONE_00226,14.235163213372218,DS,2013305N07141,14.235163213372218,0,
NONCYCLONE_00227,18.264676920360024,TS,2004307N09068,18.264676920360024,0,
NONCYCLONE_00228,27.694859342569345,TS,2000289N15089,27.694859342569345,0,
NONCYCLONE_00229,11.463201049901892,TS,2004276N12087,11.463201049901892,0,
NONCYCLONE_00230,30.874896176053063,TS,2016230N21089,30.874896176053063,0,
NONCYCLONE_00231,25.301246122835124,TS,2022226N22088,25.301246122835124,0,
NONCYCLONE_00232,15.942428631341416,TS,2012357N09064,15.942428631341416,0,
NONCYCLONE_00233,24.42262171022359,TS,2013130N04093,24.42262171022359,0,
NONCYCLONE_00234,11.560132697524423,TS,2014297N11062,11.560132697524423,0,
NONCYCLONE_00235,37.9645546524533,TS,2022356N09085,37.9645546524533,0,
NONCYCLONE_00236,23.935442361489905,TS,2016138N10081,23.935442361489905,0,
NONCYCLONE_00237,23.277263486983173,TS,2002314N12083,23.277263486983173,0,
NONCYCLONE_00238,22.407327133561573,TS,2003315N09067,22.407327133561573,0,
NONCYCLONE_00239,37.52619066790742,TS,2011302N13062,37.52619066790742,0,
NONCYCLONE_00240,16.725875816133506,TS,2003315N09067,16.725875816133506,0,
NONCYCLONE_00241,24.169574167109698,TS,2019160N11073,24.169574167109698,0,
NONCYCLONE_00242,28.770887746998095,TS,2016295N13089,28.770887746998095,0,
NONCYCLONE_00243,55.41281693135394,TS,2018365N08115,55.41281693135394,0,
NONCYCLONE_00244,26.875252426667686,TS,2024329N04089,26.875252426667686,0,
NONCYCLONE_00245,71.96444329347855,TS,2017232N19130,71.96444329347855,0,
NONCYCLONE_00246,20.575218803333847,TS,2001281N18071,20.575218803333847,0,
NONCYCLONE_00247,38.270475761829005,TS,2013339N09084,38.270475761829005,0,
NONCYCLONE_00248,29.259951234161687,TS,2013281N12098,29.259951234161687,0,
NONCYCLONE_00249,16.560470645202813,TS,2001141N14068,16.560470645202813,0,
NONCYCLONE_00250,14.932593947816251,TS,2012301N11087,14.932593947816251,0,
NONCYCLONE_00251,16.787976314518392,TS,2017340N09089,16.787976314518392,0,
NONCYCLONE_00252,27.27822751771929,DS,2024329N04089,27.27822751771929,0,
NONCYCLONE_00253,22.853158440303073,TS,2017333N06082,22.853158440303073,0,
NONCYCLONE_00254,18.196870717750247,TS,2015301N11065,18.196870717750247,0,
NONCYCLONE_00255,24.884305132843593,TS,2004325S06078,24.884305132843593,0,
NONCYCLONE_00256,36.869006201847405,TS,2019342N09062,36.869006201847405,0,
NONCYCLONE_00257,46.377952894638646,TS,2022230N18095,46.377952894638646,0,
NONCYCLONE_00258,17.844781609772323,TS,2013324N07103,17.844781609772323,0,
NONCYCLONE_00259,22.236768223263905,TS,2001264N21126,22.236768223263905,0,
NONCYCLONE_00260,11.029563099110922,TS,2005210N21088,11.029563099110922,1,TS
NONCYCLONE_00261,14.366466843493024,DS,2014297N11062,14.366466843493024,0,
NONCYCLONE_00262,34.133818349342306,TS,2006114N08090,34.133818349342306,0,
NONCYCLONE_00263,22.46684945397785,TS,2004125N11074,22.46684945397785,0,
NONCYCLONE_00264,25.214630077783994,TS,2005260N20091,25.214630077783994,0,
NONCYCLONE_00265,23.55045922885072,TS,2022347N12074,23.55045922885072,0,
NONCYCLONE_00266,25.147399986712415,TS,2016295N13089,25.147399986712415,0,
NONCYCLONE_00267,21.52526595343175,TS,2021133N10071,21.52526595343175,0,
NONCYCLONE_00268,15.837860229434273,TS,2006262N19069,15.837860229434273,0,
NONCYCLONE_00269,13.768926334023798,TS,2005255N20088,13.768926334023798,0,
NONCYCLONE_00270,32.8369259034392,TS,2003129N05091,32.8369259034392,0,
NONCYCLONE_00271,13.625272629975443,TS,2004274N16069,13.625272629975443,0,
NONCYCLONE_00272,34.41242777148124,TS,2006017S15126,34.41242777148124,0,
NONCYCLONE_00273,18.41135641520307,TS,2018279N11069,18.41135641520307,0,
NONCYCLONE_00274,12.633107408063657,DS,2013305N07141,12.633107408063657,0,
NONCYCLONE_00275,19.056688872843274,TS,2015171N15112,19.056688872843274,0,
NONCYCLONE_00276,23.399759826612375,TS,2016341N08092,23.399759826612375,0,
NONCYCLONE_00277,27.507296502438383,TS,2011160N18070,27.507296502438383,0,
NONCYCLONE_00278,32.25324258390662,TS,2023212N19090,32.25324258390662,0,
NONCYCLONE_00279,28.662085858154306,TS,2015301N11065,28.662085858154306,0,
NONCYCLONE_00280,14.562455485701197,TS,2023156N10067,14.562455485701197,0,
NONCYCLONE_00281,11.100614421513217,TS,2005257N15120,11.100614421513217,0,
NONCYCLONE_00282,9.941130313313753,TS,2018281N14088,9.941130313313753,1,TS
NONCYCLONE_00283,23.24303583154852,TS,2006228N21088,23.24303583154852,0,
NONCYCLONE_00284,12.18131616007214,TS,2023292N11063,12.18131616007214,0,
NONCYCLONE_00285,23.953469719587424,TS,2015209N26072,23.953469719587424,0,
NONCYCLONE_00286,22.8318864094505,TS,2022062N06085,22.8318864094505,0,
NONCYCLONE_00287,35.53042777618774,TS,2013281N12098,35.53042777618774,0,
NONCYCLONE_00288,44.53342408872159,TS,2021143N15090,44.53342408872159,0,
NONCYCLONE_00289,17.311638549945872,TS,2002356S07070,17.311638549945872,0,
NONCYCLONE_00290,12.512649609637153,TS,2019218N21088,12.512649609637153,0,
NONCYCLONE_00291,22.37501719390046,TS,2015209N26072,22.37501719390046,0,
NONCYCLONE_00292,19.793256412772426,TS,2009176N23069,19.793256412772426,0,
NONCYCLONE_00293,20.412923177389853,TS,2012301N11087,20.412923177389853,0,
NONCYCLONE_00294,10.385297142459686,TS,2014003N08086,10.385297142459686,0,
NONCYCLONE_00295,6.962436119399453,TS,2017307N07102,6.962436119399453,1,TS
NONCYCLONE_00296,14.54002849807365,TS,2008117N11090,14.54002849807365,0,
NONCYCLONE_00297,23.15461679096482,TS,2000331N09092,23.15461679096482,0,
NONCYCLONE_00298,69.05174451318044,MX,2020353N06129,69.05174451318044,0,
NONCYCLONE_00299,38.930632082381535,TS,2010286N18090,38.930632082381535,0,
NONCYCLONE_00300,20.1067994092031,TS,2003240N21089,20.1067994092031,0,
NONCYCLONE_00301,19.937206254750322,TS,2009174N18072,19.937206254750322,0,
NONCYCLONE_00302,13.446301036282259,TS,2013324N07103,13.446301036282259,0,
NONCYCLONE_00303,18.466520511430023,DS,2019301N05081,18.466520511430023,0,
NONCYCLONE_00304,16.52534353914056,TS,2014279N11096,16.52534353914056,0,
NONCYCLONE_00305,15.012877514088705,TS,2003345N05092,15.012877514088705,0,
NONCYCLONE_00306,41.3658464830699,TS,2020296N19087,41.3658464830699,0,
NONCYCLONE_00307,28.501278448045884,TS,2014297N11062,28.501278448045884,0,
NONCYCLONE_00308,27.762058739088808,TS,2019218N21088,27.762058739088808,0,
NONCYCLONE_00309,27.852206939621894,TS,2022226N22088,27.852206939621894,0,
NONCYCLONE_00310,15.74539758421516,TS,2021267N18094,15.74539758421516,0,
NONCYCLONE_00311,16.26889673141475,TS,2006241N20088,16.26889673141475,0,
NONCYCLONE_00312,11.400980231299709,DS,2019335N05058,11.400980231299709,0,
NONCYCLONE_00313,23.62399143880281,DS,2008259N20089,23.62399143880281,0,
NONCYCLONE_00314,15.479980262034454,TS,2014216N21089,15.479980262034454,0,
NONCYCLONE_00315,14.88150577125911,TS,2001141N14068,14.88150577125911,0,
NONCYCLONE_00316,29.06295228410463,TS,2012296N06135,29.06295228410463,0,
NONCYCLONE_00317,24.921108523826366,TS,2024288N16065,24.921108523826366,0,
NONCYCLONE_00318,22.608356568878428,TS,2025295N09068,22.608356568878428,0,
NONCYCLONE_00319,25.676168730570236,TS,2008259N20089,25.676168730570236,0,
NONCYCLONE_00320,20.05657836686317,TS,2011167N22089,20.05657836686317,0,
NONCYCLONE_00321,16.89635894250889,TS,2021256N20087,16.89635894250889,0,
NONCYCLONE_00322,10.91490586083184,TS,2024290N11084,10.91490586083184,0,
NONCYCLONE_00323,23.009721270671527,TS,2004125N11074,23.009721270671527,0,
NONCYCLONE_00324,17.618339637338828,DS,2014309N13088,17.618339637338828,0,
NONCYCLONE_00325,15.930613677642004,TS,2025295N09068,15.930613677642004,0,
NONCYCLONE_00326,26.37935309106323,TS,2024238N25077,26.37935309106323,0,
NONCYCLONE_00327,20.277097469958882,TS,2022062N06085,20.277097469958882,0,
NONCYCLONE_00328,28.144202817922405,TS,2008117N11090,28.144202817922405,0,
NONCYCLONE_00329,15.019453846166943,TS,2014279N11096,15.019453846166943,0,
NONCYCLONE_00330,44.802200109253576,TS,2017104N08085,44.802200109253576,0,
NONCYCLONE_00331,11.983758321982783,TS,2018136N11054,11.983758321982783,0,
NONCYCLONE_00332,46.40287250682393,TS,2013301N13142,46.40287250682393,0,
NONCYCLONE_00333,31.366632742316195,TS,2022338N05100,31.366632742316195,0,
NONCYCLONE_00334,10.64484544146177,TS,2009104N13088,10.64484544146177,1,TS
NONCYCLONE_00335,14.085528982951981,DS,2019302N11118,14.085528982951981,0,
NONCYCLONE_00336,28.04179477092894,TS,2015309N14067,28.04179477092894,0,
NONCYCLONE_00337,25.59074175973817,TS,2002356S07070,25.59074175973817,0,
